Timestamp,"Стартова заплата на текущата позиция (месечна, нето, в лева)","Текуща заплата (месечна, нето, в лева)",Колко години стаж имате на текущата позиция?,Колко години стаж имате?,За колко човека отговаряте?,В коя област работите?,Какво е точното название на позицията Ви?,Град,Заплаща ли се Overtime,"Годишен размер на паричните бонуси (Нето, в лева)","Име на фирмата, в която работите",Какви технологии ползвате?,Имаше ли съкращения във вашата фирма в резултат на кризата,"Получихте ли увеличение на заплатата, което да компенсира инфлацията в страната",Предлага ли по принцип дистанционна работа фирмата Ви,Фирмата изисква ли естимейти преди започване на таск,Фирмата изисква ли отчитане на часове за работния ден,"Фирмата предлага ли работно време по твое желание (изключвайки срещите)? ""Имаш да свършиш това за днес, пък кога го вършиш - е твоя работа",Получавате ли бонуси на база добре свършена работа,Тип на компанията,Има ли и какви стокови опции или подобни,Брой дни платен отпуск,Получавате ли допълнително здравно осигуряване,Получавате ли карта/бюджет за спорт,"Получавате ли бюджет за допълнителни обучения, курсове и сертификати",Бележки
1/19/2023 14:54:33,10500,10500,0.5,8.5,10,Мениджмънт/Тиим Лиид,Software Development Manager,София,Няма overtime,0,N/A,"JavaScript, Node.js, ReactJS, Angular.io, Vue.js, Various SQL DBs, Some NoSQL DBs, Adobe Commerce, Salesforce Commerce Cloud,",не,N/A,дистанционно по желание без ограничение,"да, и следи за спазването",да,да,"не, нямаме бонуси",Сървис,Не,20,Да,Да,Да,
1/19/2023 15:25:57,7500,7500,3,8,6,Мениджмънт/Тиим Лиид,Senior Web dev/Team Lead,Варна,Няма overtime,0,,"PHP, JavaScript, Python, PostresQL, AWS",не,не,няколко задължително присъствени дни,"да, но не се налага спазването им",да,"не, работим фиксирано","не, нямаме бонуси",Продукт,Не,20,Ако искаш,Да,Да,
1/19/2023 15:48:12,1800,5000,2.7,2.7,0,Разработка на софтуер (Dev),Fullstack .Net Developer,София,Да,5000,,"C#, JavaScript, SQL, AWS",не,Все още чакам,няколко задължително присъствени дни,"да, и следи за спазването",не,"не, работим фиксирано",да,Продукт,,23,Да,Наполовина предплатена от фирмата,Да,
1/19/2023 16:00:43,3000,4000,1,1,0,Разработка на софтуер (Dev),ABAP developer,София,Няма overtime,6500,,"ABAP, SQL",не,не,няколко задължително присъствени дни,"да, но не се налага спазването им",да,да,"не, бонусите са фиксирани",Сървис,,25,Да,Да,Да,
1/19/2023 16:02:18,3700,4400,1,7,0,QA,Senior QA,София,Няма overtime,5000,Merkle,"Java, Python, Selenium, JavaScritp, Jenkins",не,да,100% дистанционно,не,да,да,"не, бонусите са фиксирани",Сървис,,25,Да,Да,Да,
1/19/2023 16:13:52,1500,3700,1.5,2,0,Разработка на софтуер (Dev),C++ Developer,София,Няма overtime,2000,,"C++, Python",не,да,дистанционно по желание без ограничение,не,не,да,да,Продукт,Не,25,Да,Да,Да,
1/19/2023 16:27:16,5600,5600,1,6,0,DevOps,Developer,София,Да,5600,,"Java, Bash, AWS, Azure, GCP, Jenkins,",не,,дистанционно по желание без ограничение,,не,да,"не, бонусите са фиксирани",Продукт,,30,Да,Да,Да,
1/19/2023 17:48:37,700,2800,10,15,0,Разработка на софтуер (Dev),Програмист,Варна,Не,0,,"PHP, MySQL, Laravel",не,не,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,"не, работим фиксирано","не, нямаме бонуси",Сървис,,20,Не,Не,Не,
1/19/2023 18:09:03,8500,8925,1,16,0,Разработка на софтуер (Dev),Senior Back-end Developer,София,Няма overtime,0,,"Python, MySQL, Opensearch, AWS",не,да,100% дистанционно,"да, и следи за спазването",не,да,"не, нямаме бонуси",Продукт,,22,Не,Не,Не,
1/19/2023 19:05:33,4500,4500,0.5,3,0,Разработка на софтуер (Dev),"Програмист, софтуерни приложения",София,Да,0,,C++,не,не,задължително присъствено,"да, но не се налага спазването им",не,"не, работим фиксирано","не, нямаме бонуси",Продукт,,25,Да,Да,Не,
